layer,kind,n_weights,bits,sparsity,scheme,payload_kb,scale_kb,table_kb,bias_kb,total_kb,bits_per_weight,fp32_kb
features.0.0,conv,864,4,0.1713,direct,0.379,0.035,0.029,0.062,0.51,4.24,3.375
features.1.conv.0.0,depthwise,288,4,0.125,raw,0.141,0.035,0.0,0.062,0.242,5.111,1.125
features.1.conv.1.0,pointwise,512,4,0.2344,direct,0.212,0.02,0.029,0.031,0.296,4.24,2.0
features.2.conv.0.0,pointwise,1536,4,0.1387,direct,0.719,0.098,0.029,0.188,1.037,4.533,6.0
features.2.conv.1.0,depthwise,864,4,0.0833,raw,0.422,0.098,0.0,0.188,0.711,4.963,3.375
features.2.conv.2.0,pointwise,2304,4,0.2587,direct,0.901,0.027,0.029,0.047,1.009,3.419,9.0
features.3.conv.0.0,pointwise,3456,4,0.2378,direct,1.461,0.145,0.029,0.281,1.92,3.885,13.5
features.3.conv.1.0,depthwise,1296,4,0.0733,raw,0.633,0.145,0.0,0.281,1.062,4.938,5.062
features.3.conv.2.0,pointwise,3456,4,0.3617,rle,1.235,0.027,0.053,0.047,1.366,3.127,13.5
features.4.conv.0.0,pointwise,3456,4,0.1895,direct,1.503,0.145,0.029,0.281,1.962,3.983,13.5
features.4.conv.1.0,depthwise,1296,4,0.0386,raw,0.633,0.145,0.0,0.281,1.062,4.938,5.062
features.4.conv.2.0,pointwise,4608,4,0.1923,direct,1.826,0.035,0.029,0.062,1.957,3.368,18.0
features.5.conv.0.0,pointwise,6144,4,0.2542,direct,2.612,0.191,0.029,0.375,3.212,3.783,24.0
features.5.conv.1.0,depthwise,1728,4,0.0885,direct,0.804,0.191,0.029,0.375,1.404,4.876,6.75
features.5.conv.2.0,pointwise,6144,4,0.3721,rle,2.178,0.035,0.057,0.062,2.336,3.032,24.0
features.6.conv.0.0,pointwise,6144,4,0.2119,direct,2.7,0.191,0.029,0.375,3.299,3.899,24.0
features.6.conv.1.0,depthwise,1728,4,0.0741,raw,0.844,0.191,0.0,0.375,1.414,4.926,6.75
features.6.conv.2.0,pointwise,6144,4,0.2926,direct,2.389,0.035,0.029,0.062,2.52,3.276,24.0
features.7.conv.0.0,pointwise,6144,4,0.2458,direct,2.646,0.191,0.029,0.375,3.246,3.827,24.0
features.7.conv.1.0,depthwise,1728,4,0.033,raw,0.844,0.191,0.0,0.375,1.414,4.926,6.75
features.7.conv.2.0,pointwise,12288,4,0.2266,direct,4.725,0.066,0.029,0.125,4.95,3.216,48.0
features.8.conv.0.0,pointwise,24576,4,0.3713,direct,9.541,0.379,0.029,0.75,10.703,3.318,96.0
features.8.conv.1.0,depthwise,3456,4,0.0744,direct,1.61,0.379,0.029,0.75,2.773,4.794,13.5
features.8.conv.2.0,pointwise,24576,4,0.3568,rle,8.759,0.066,0.094,0.125,9.048,2.974,96.0
features.9.conv.0.0,pointwise,24576,4,0.3077,direct,9.952,0.379,0.029,0.75,11.114,3.455,96.0
features.9.conv.1.0,depthwise,3456,4,0.081,direct,1.622,0.379,0.029,0.75,2.784,4.822,13.5
features.9.conv.2.0,pointwise,24576,4,0.4877,rle,7.472,0.066,0.133,0.125,7.8,2.558,96.0
features.10.conv.0.0,pointwise,24576,4,0.3035,direct,9.997,0.379,0.029,0.75,11.159,3.47,96.0
features.10.conv.1.0,depthwise,3456,4,0.1019,direct,1.61,0.379,0.029,0.75,2.772,4.793,13.5
features.10.conv.2.0,pointwise,24576,4,0.4447,rle,8.058,0.066,0.107,0.125,8.361,2.745,96.0
features.11.conv.0.0,pointwise,24576,4,0.3467,direct,9.734,0.379,0.029,0.75,10.896,3.382,96.0
features.11.conv.1.0,depthwise,3456,4,0.079,direct,1.634,0.379,0.029,0.75,2.796,4.849,13.5
features.11.conv.2.0,pointwise,36864,4,0.1981,direct,14.412,0.098,0.029,0.188,14.73,3.232,144.0
features.12.conv.0.0,pointwise,55296,4,0.3478,direct,21.598,0.566,0.029,1.125,23.323,3.289,216.0
features.12.conv.1.0,depthwise,5184,4,0.0747,direct,2.441,0.566,0.029,1.125,4.165,4.804,20.25
features.12.conv.2.0,pointwise,55296,4,0.5981,rle,14.445,0.098,0.156,0.188,14.89,2.178,216.0
features.13.conv.0.0,pointwise,55296,4,0.3873,direct,20.868,0.566,0.029,1.125,22.592,3.18,216.0
features.13.conv.1.0,depthwise,5184,4,0.061,direct,2.464,0.566,0.029,1.125,4.189,4.842,20.25
features.13.conv.2.0,pointwise,55296,4,0.5201,rle,16.492,0.098,0.141,0.188,16.922,2.479,216.0
features.14.conv.0.0,pointwise,55296,4,0.4197,direct,20.143,0.566,0.029,1.125,21.868,3.073,216.0
features.14.conv.1.0,depthwise,5184,4,0.0478,direct,2.473,0.566,0.029,1.125,4.198,4.855,20.25
features.14.conv.2.0,pointwise,92160,4,0.4429,direct,30.707,0.16,0.029,0.312,31.213,2.747,360.0
features.15.conv.0.0,pointwise,153600,4,0.5527,direct,46.338,0.941,0.029,1.875,49.187,2.523,600.0
features.15.conv.1.0,depthwise,8640,4,0.0615,direct,4.089,0.941,0.029,1.875,6.938,4.801,33.75
features.15.conv.2.0,pointwise,153600,4,0.6581,rle,37.295,0.16,0.148,0.312,37.92,2.006,600.0
features.16.conv.0.0,pointwise,153600,4,0.6012,direct,43.442,0.941,0.029,1.875,46.292,2.369,600.0
features.16.conv.1.0,depthwise,8640,4,0.0769,direct,4.106,0.941,0.029,1.875,6.956,4.817,33.75
features.16.conv.2.0,pointwise,153600,4,0.6846,rle,30.168,0.16,0.127,0.312,30.771,1.624,600.0
features.17.conv.0.0,pointwise,153600,4,0.6635,rle,38.761,0.941,0.086,1.875,41.667,2.122,600.0
features.17.conv.1.0,depthwise,8640,4,0.07,direct,4.099,0.941,0.029,1.875,6.948,4.81,33.75
features.17.conv.2.0,pointwise,307200,4,0.8172,rle,48.429,0.316,0.18,0.625,49.554,1.305,1200.0
features.18.0,pointwise,409600,4,0.9703,rle,14.47,1.254,0.402,2.5,18.63,0.323,1600.0
classifier.1,linear,12800,4,0.1323,direct,4.694,0.014,0.029,0.02,4.761,3.034,50.0
