weight_quant_bits,activation_quant_bits,prune_ratio,group_size,quantized_acc,acc_drop,compression_ratio,weight_cr,activation_traffic_cr,activation_peak_cr,model_size_mb,avg_bits_per_weight,achieved_sparsity,metadata_fraction,runtime_s
2,4,0.0,0,9.69,85.93,43.9585,52.0766,8.0,8.0,0.1941,0.6145,0.0,0.28,5.9
2,4,0.0,64,9.45,86.17,28.5236,31.5426,8.0,8.0,0.29913,1.0145,0.0,0.2603,3.1
2,4,0.3,0,9.79,85.83,44.0169,52.1598,8.0,8.0,0.19384,0.6135,0.2894,0.2805,3.1
2,4,0.3,64,9.06,86.56,28.5896,31.6246,8.0,8.0,0.29844,1.0119,0.2894,0.2611,3.1
2,4,0.5,0,9.68,85.94,44.1694,52.3774,8.0,8.0,0.19317,0.611,0.4823,0.2814,3.1
2,4,0.5,64,9.39,86.23,29.3777,32.6072,8.0,8.0,0.29043,0.9814,0.4823,0.2686,3.1
2,6,0.0,0,10.41,85.21,43.9585,52.0766,5.3333,5.3333,0.1941,0.6145,0.0,0.28,3.1
2,6,0.0,64,9.46,86.16,28.5236,31.5426,5.3333,5.3333,0.29913,1.0145,0.0,0.2603,3.2
2,6,0.3,0,10.2,85.42,44.0169,52.1598,5.3333,5.3333,0.19384,0.6135,0.2894,0.2805,3.1
2,6,0.3,64,8.52,87.1,28.5896,31.6246,5.3333,5.3333,0.29844,1.0119,0.2894,0.2611,3.1
2,6,0.5,0,10.26,85.36,44.1694,52.3774,5.3333,5.3333,0.19317,0.611,0.4823,0.2814,3.1
2,6,0.5,64,8.42,87.2,29.3777,32.6072,5.3333,5.3333,0.29043,0.9814,0.4823,0.2686,3.1
2,8,0.0,0,10.43,85.19,43.9585,52.0766,4.0,4.0,0.1941,0.6145,0.0,0.28,3.0
2,8,0.0,64,9.56,86.06,28.5236,31.5426,4.0,4.0,0.29913,1.0145,0.0,0.2603,3.1
2,8,0.3,0,10.13,85.49,44.0169,52.1598,4.0,4.0,0.19384,0.6135,0.2894,0.2805,3.1
2,8,0.3,64,8.7,86.92,28.5896,31.6246,4.0,4.0,0.29844,1.0119,0.2894,0.2611,3.1
2,8,0.5,0,10.32,85.3,44.1694,52.3774,4.0,4.0,0.19317,0.611,0.4823,0.2814,3.0
2,8,0.5,64,8.63,86.99,29.3777,32.6072,4.0,4.0,0.29043,0.9814,0.4823,0.2686,3.1
3,4,0.0,0,45.91,49.71,15.7689,16.529,8.0,8.0,0.54108,1.936,0.0,0.0933,3.3
3,4,0.0,64,54.82,40.8,12.9648,13.4358,8.0,8.0,0.65811,2.3817,0.0,0.1147,3.4
3,4,0.3,0,47.79,47.83,15.9462,16.727,8.0,8.0,0.53507,1.9131,0.2894,0.0949,3.4
3,4,0.3,64,55.7,39.92,13.2405,13.7368,8.0,8.0,0.64441,2.3295,0.2894,0.1174,3.5
3,4,0.5,0,47.84,47.78,17.6746,18.672,8.0,8.0,0.48274,1.7138,0.4823,0.1059,3.3
3,4,0.5,64,48.66,46.96,14.9088,15.5727,8.0,8.0,0.5723,2.0549,0.4823,0.1326,3.4
3,6,0.0,0,73.72,21.9,15.7689,16.529,5.3333,5.3333,0.54108,1.936,0.0,0.0933,3.4
3,6,0.0,64,81.52,14.1,12.9648,13.4358,5.3333,5.3333,0.65811,2.3817,0.0,0.1147,3.4
