epoch,lr,train_loss,train_acc,test_loss,test_acc,best_acc,epoch_time_s
1,5.1e-05,2.0193,26.18,1.8623,38.01,38.01,170.0
2,0.02,1.7265,43.264,1.7347,48.35,48.35,8.8
3,0.04,1.5172,54.354,1.3718,63.43,63.43,8.9
4,0.06,1.356,61.898,1.2326,67.78,67.78,8.9
5,0.08,1.2648,65.862,1.1708,71.02,71.02,8.9
6,0.1,1.1966,69.312,1.0973,73.61,73.61,8.7
7,0.099994,1.1553,71.032,1.0581,76.68,76.68,8.7
8,0.099974,1.1301,72.23,1.1443,72.97,76.68,8.3
9,0.099942,1.115,72.912,1.1071,74.14,76.68,8.3
10,0.099896,1.0985,73.864,0.973,80.2,80.2,8.6
11,0.099838,1.0875,74.184,1.0545,76.41,80.2,8.5
12,0.099767,1.0769,74.53,0.9953,78.43,80.2,8.6
13,0.099683,1.0626,75.196,0.9949,78.97,80.2,8.7
14,0.099586,1.057,75.554,1.1963,70.83,80.2,8.5
15,0.099476,1.0492,76.032,0.9612,80.02,80.2,8.3
16,0.099353,1.0432,76.278,0.9525,80.38,80.38,8.5
17,0.099217,1.0353,76.52,0.9694,79.73,80.38,8.6
18,0.099069,1.0294,76.776,0.9034,82.72,82.72,8.4
19,0.098908,1.0249,76.932,0.9615,80.93,82.72,8.4
20,0.098734,1.0198,77.43,0.8871,83.13,83.13,8.8
21,0.098548,1.0117,77.65,0.9169,81.61,83.13,8.6
22,0.098349,1.0066,77.838,0.9428,81.14,83.13,9.1
23,0.098137,1.0042,77.904,0.9143,82.18,83.13,8.6
24,0.097913,1.0012,78.118,0.9071,82.24,83.13,8.7
25,0.097676,0.9986,78.372,1.0099,78.71,83.13,9.1
26,0.097427,0.9995,78.152,0.9001,82.65,83.13,8.8
27,0.097166,0.9894,78.762,0.9923,78.78,83.13,8.8
28,0.096893,0.9916,78.656,0.8764,83.73,83.73,9.1
29,0.096607,0.9897,78.586,0.8928,82.66,83.73,9.3
30,0.09631,0.9858,78.924,0.936,81.38,83.73,8.3
31,0.096,0.9807,79.058,0.8727,83.82,83.82,8.8
32,0.095678,0.9773,78.944,0.9529,80.23,83.82,9.0
33,0.095345,0.9803,78.88,1.1011,75.18,83.82,8.6
34,0.094999,0.9718,79.552,0.8643,83.98,83.98,8.7
35,0.094642,0.975,79.29,0.8758,83.84,83.98,9.0
36,0.094274,0.9707,79.336,0.9454,80.86,83.98,8.5
37,0.093894,0.9666,79.492,0.9089,81.83,83.98,8.9
38,0.093502,0.9675,79.502,0.8903,82.69,83.98,9.2
39,0.0931,0.9658,79.532,0.9091,81.67,83.98,9.4
40,0.092686,0.9626,79.91,0.8852,83.76,83.98,8.3
41,0.092261,0.9571,80.27,0.852,85.27,85.27,8.6
42,0.091825,0.9615,79.834,0.8979,82.82,85.27,8.3
43,0.091378,0.9607,79.834,0.8807,83.21,85.27,8.7
44,0.09092,0.953,80.192,0.9114,82.54,85.27,8.7
45,0.090452,0.9552,80.202,0.8572,84.7,85.27,8.9
46,0.089973,0.9509,80.392,0.9497,80.5,85.27,8.3
47,0.089484,0.9497,80.512,0.8886,83.44,85.27,8.4
48,0.088985,0.9491,80.382,0.9486,80.66,85.27,8.7
49,0.088476,0.9497,80.18,0.8529,84.64,85.27,8.4
50,0.087956,0.9393,80.906,0.832,85.55,85.55,8.9
51,0.087427,0.9436,80.594,0.8576,84.67,85.55,9.0
52,0.086888,0.9427,80.79,0.844,85.36,85.55,8.5
53,0.086339,0.9399,80.93,0.848,85.06,85.55,8.6
54,0.085781,0.9356,81.12,0.8661,84.48,85.55,8.4
55,0.085214,0.9358,81.148,0.8352,85.37,85.55,8.3
56,0.084638,0.9289,81.48,0.8472,84.96,85.55,8.8
57,0.084052,0.9273,81.514,0.8637,84.35,85.55,8.7
58,0.083458,0.9329,81.124,0.8998,83.09,85.55,8.7
59,0.082855,0.9272,81.54,0.8307,85.39,85.55,8.9
60,0.082244,0.9261,81.28,0.8855,83.66,85.55,8.6
61,0.081624,0.9242,81.358,0.8529,84.66,85.55,8.6
62,0.080996,0.9251,81.6,0.8013,87.05,87.05,8.9
63,0.08036,0.9237,81.442,0.8685,84.05,87.05,8.7
64,0.079716,0.9203,81.634,0.8148,86.51,87.05,8.9
65,0.079064,0.9181,81.8,0.816,86.35,87.05,8.7
66,0.078405,0.9156,81.908,0.8298,85.54,87.05,8.7
67,0.077738,0.9133,81.97,0.8311,85.46,87.05,9.3
68,0.077065,0.9123,82.108,0.7996,87.07,87.07,8.8
69,0.076384,0.9072,82.236,0.8078,86.81,87.07,8.9
70,0.075696,0.906,82.42,0.807,86.28,87.07,8.9
71,0.075002,0.9084,82.162,0.799,87.08,87.08,8.9
72,0.074301,0.9084,82.086,0.8733,84.47,87.08,8.4
73,0.073594,0.9085,82.3,0.8159,86.28,87.08,8.8
74,0.072881,0.9053,82.222,0.7949,87.12,87.12,8.1
75,0.072161,0.8962,82.678,0.8546,84.38,87.12,8.5
76,0.071436,0.8965,82.622,0.8157,86.31,87.12,8.4
77,0.070706,0.8969,82.586,0.8133,86.88,87.12,8.9
78,0.06997,0.8941,82.756,0.8217,85.92,87.12,8.4
79,0.069229,0.8916,82.986,0.8144,86.3,87.12,8.5
80,0.068483,0.8918,82.976,0.7853,87.36,87.36,8.7
81,0.067732,0.886,83.134,0.8274,85.69,87.36,8.7
82,0.066977,0.8803,83.446,0.8046,87.16,87.36,8.6
83,0.066217,0.8798,83.436,0.8083,86.46,87.36,9.0
84,0.065453,0.8878,82.952,0.7845,87.68,87.68,8.7
85,0.064685,0.8806,83.342,0.8028,87.06,87.68,8.6
86,0.063913,0.8796,83.514,0.7783,88.19,88.19,8.0
87,0.063137,0.8763,83.764,0.8046,86.96,88.19,8.4
88,0.062358,0.8697,84.022,0.7771,87.94,88.19,8.2
89,0.061576,0.871,83.866,0.8089,86.18,88.19,8.9
90,0.060791,0.866,83.934,0.7775,87.85,88.19,8.1
91,0.060003,0.8694,83.848,0.7999,87.3,88.19,8.5
92,0.059213,0.8649,84.062,0.7808,87.98,88.19,8.8
93,0.05842,0.8623,84.184,0.8046,86.66,88.19,8.4
94,0.057625,0.8635,84.054,0.7899,87.53,88.19,8.7
95,0.056828,0.8517,84.814,0.7801,87.8,88.19,8.4
96,0.056029,0.8538,84.52,0.798,87.29,88.19,8.7
97,0.055228,0.8579,84.464,0.7858,87.71,88.19,8.2
98,0.054427,0.8523,84.61,0.7656,88.72,88.72,9.1
99,0.053624,0.8522,84.506,0.7807,87.91,88.72,9.1
100,0.05282,0.8466,84.868,0.7753,88.22,88.72,8.6
101,0.052015,0.8455,85.02,0.7428,89.41,89.41,8.2
102,0.05121,0.8418,85.08,0.7892,87.31,89.41,8.2
103,0.050405,0.8369,85.364,0.7703,88.04,89.41,9.2
104,0.049599,0.8382,85.336,0.7769,87.71,89.41,8.7
105,0.048794,0.8339,85.484,0.785,87.71,89.41,8.8
106,0.047989,0.8359,85.354,0.7748,88.1,89.41,8.6
107,0.047184,0.8262,85.754,0.7793,87.63,89.41,8.5
108,0.04638,0.8289,85.716,0.7619,88.69,89.41,8.6
109,0.045577,0.8274,85.73,0.7723,88.17,89.41,8.4
110,0.044776,0.8241,85.9,0.7697,88.27,89.41,8.7
111,0.043975,0.8182,86.252,0.749,88.91,89.41,8.7
112,0.043176,0.8134,86.164,0.774,87.91,89.41,8.6
113,0.042379,0.8151,86.332,0.781,87.89,89.41,8.5
114,0.041584,0.8105,86.362,0.7331,90.12,90.12,8.8
115,0.040791,0.8092,86.444,0.7375,89.55,90.12,8.4
116,0.040001,0.8059,86.744,0.7357,89.73,90.12,8.7
117,0.039213,0.8064,86.696,0.7282,89.92,90.12,8.7
118,0.038428,0.8018,86.94,0.7745,88.39,90.12,8.4
119,0.037646,0.801,86.868,0.7257,90.19,90.19,8.8
120,0.036867,0.7967,87.05,0.7493,89.0,90.19,8.9
121,0.036091,0.792,87.3,0.7244,90.32,90.32,9.0
122,0.035319,0.7885,87.384,0.7499,89.1,90.32,8.9
123,0.034551,0.7888,87.422,0.7351,89.86,90.32,8.8
124,0.033787,0.7835,87.728,0.7283,90.0,90.32,9.3
125,0.033027,0.7807,87.642,0.7426,89.4,90.32,9.1
126,0.032272,0.779,87.922,0.723,90.46,90.46,9.9
127,0.031521,0.7741,88.128,0.71,90.92,90.92,9.4
128,0.030775,0.7737,88.05,0.7158,90.67,90.92,9.4
129,0.030034,0.7725,88.07,0.6937,91.63,91.63,8.4
130,0.029298,0.7686,88.33,0.7036,91.02,91.63,8.7
131,0.028567,0.7592,88.808,0.7191,90.37,91.63,8.4
132,0.027842,0.7613,88.564,0.7138,91.04,91.63,8.3
133,0.027123,0.7592,88.654,0.7104,90.62,91.63,8.6
134,0.02641,0.7514,89.062,0.6904,91.83,91.83,8.6
135,0.025703,0.7511,88.954,0.6912,91.51,91.83,9.1
136,0.025002,0.749,89.22,0.689,91.89,91.89,9.6
137,0.024307,0.7469,89.266,0.6887,91.78,91.89,9.2
138,0.02362,0.743,89.444,0.6854,92.0,92.0,8.9
139,0.022939,0.739,89.504,0.6791,92.4,92.4,8.9
140,0.022265,0.7326,89.844,0.6833,92.09,92.4,8.4
141,0.021598,0.7322,89.998,0.6924,91.86,92.4,8.7
142,0.020939,0.7266,90.084,0.6892,91.93,92.4,8.4
143,0.020288,0.7229,90.354,0.6758,92.47,92.47,8.6
144,0.019644,0.7197,90.352,0.6815,92.22,92.47,8.7
145,0.019007,0.7179,90.496,0.6792,92.24,92.47,9.0
146,0.018379,0.7163,90.468,0.6651,92.9,92.9,8.3
147,0.017759,0.7123,90.764,0.669,92.85,92.9,8.6
148,0.017148,0.7103,90.86,0.6665,92.87,92.9,8.6
149,0.016545,0.7011,91.184,0.6746,92.37,92.9,8.9
150,0.015951,0.7045,91.12,0.6668,92.95,92.95,8.9
151,0.015365,0.6943,91.62,0.6744,92.52,92.95,9.4
152,0.014789,0.6927,91.558,0.6618,92.88,92.95,9.1
153,0.014221,0.6895,91.774,0.6549,93.28,93.28,9.5
154,0.013663,0.6853,91.894,0.661,92.96,93.28,9.8
155,0.013115,0.6802,92.102,0.6625,93.04,93.28,9.9
156,0.012576,0.678,92.192,0.6539,93.32,93.32,9.7
157,0.012047,0.6757,92.338,0.6538,93.28,93.32,9.6
158,0.011527,0.6704,92.578,0.6623,93.04,93.32,9.5
159,0.011018,0.6662,92.758,0.6546,93.27,93.32,9.6
160,0.010518,0.6636,92.762,0.6542,93.55,93.55,9.1
161,0.010029,0.6608,92.93,0.64,93.9,93.9,8.9
162,0.00955,0.6546,93.268,0.6422,93.77,93.9,8.9
163,0.009082,0.6503,93.492,0.6431,93.89,93.9,8.2
164,0.008625,0.6483,93.488,0.6382,94.01,94.01,8.3
165,0.008178,0.6437,93.742,0.6416,93.88,94.01,8.3
166,0.007742,0.6408,93.83,0.6397,93.96,94.01,9.0
167,0.007317,0.6352,94.14,0.6318,94.4,94.4,8.8
168,0.006903,0.6327,94.212,0.6425,93.87,94.4,8.3
